id,Car,Model,Vin,year,DateSales,Address
1,Mitsubishi,Montero,KNDMB5C12F6902247,1994,,
2,Mercedes-Benz,S-Class,WBAEW53452P255038,2000,2018-06-03,Room 739
3,Pontiac,Safari,1FAHP2DW3CG268549,1989,2015-01-04,
4,Ford,Galaxie,1N4AA5AP4CC565502,1966,,Room 1058
5,Dodge,Caravan,3C3CFFJH4DT632323,2011,2020-01-31,PO Box 72312
6,Buick,Electra,5UXFA13555L012685,1987,2004-09-13,
7,Mitsubishi,Mighty Max Macro,3C4PDDEG8ET089214,1992,2015-07-28,
8,Dodge,Magnum,TRUVD38JX91887791,2006,,Apt 1916
9,Mazda,Tribute,5N1AN0NU2CN562731,2003,2001-07-11,Suite 33
10,Kia,Amanti,1YVHZ8BA6A5146513,2004,,Apt 921
11,Dodge,Ram Van 2500,JTHBE1KS8A0639483,1995,2017-07-11,
12,Oldsmobile,Alero,1N6AA0CJ2FN314392,2000,2005-12-22,
13,Chevrolet,S10,KNAGG4A87A5298568,2001,2013-11-02,
14,Volvo,850,1FTEX1C83AK024448,,2009-06-27,18th Floor
15,GMC,Savana 2500,3FAHP0CG2BR202502,1996,2022-03-09,
16,GMC,Envoy XL,WBAUU33579A351930,,2004-07-21,20th Floor
17,Dodge,Grand Caravan,1G4PP5SK6F4447712,1995,2008-10-27,
18,Ford,F-Series,WBAUP7C51AV369139,2009,2001-04-20,
19,Ferrari,599 GTB Fiorano,WDDGF4HB7DG324544,2009,2009-10-20,
20,Mitsubishi,Galant,VNKJTUD33FA668103,,,Apt 1972
21,Nissan,Maxima,1FTMF1E86AF788959,1998,2022-02-22,
22,Ford,Club Wagon,3FAHP0CGXBR012740,1997,2013-08-13,Apt 1234
23,GMC,3500 Club Coupe,WA1LGAFE8ED901113,1998,,Apt 69
24,Dodge,Dakota,TRUUT28N721118683,2005,,Apt 942
25,Suzuki,Grand Vitara,1G6DP57V490474996,2012,2015-04-28,4th Floor
26,Toyota,Corolla,WBAHN03586D905354,1994,2007-12-01,PO Box 75422
27,Chevrolet,Silverado 1500,5LMJJ2H5XAE286269,2005,,
28,Hyundai,Elantra,5UXZV8C57CL785598,1997,2005-10-06,PO Box 27120
29,Honda,del Sol,5J6TF1H52FL487320,1995,,
30,Pontiac,GTO,5N1AA0NC6DN568584,1970,,
31,Lamborghini,Gallardo,WUAGNAFG4BN546173,2012,2010-12-27,PO Box 89016
32,Audi,A4,WBALL5C58DJ607379,,,PO Box 29008
33,Dodge,Dakota,JN1AY1AP1BM408892,2007,2013-07-18,
34,Ford,Flex,1FAHP2DW3AG249710,2010,,
35,Volvo,S80,1G6AB5RX7D0371015,2000,2007-12-09,
36,BMW,Z3,WAUEG78E46A261691,2002,,Suite 55
37,BMW,5 Series,JN8AF5MR6CT927407,,2001-09-12,
38,Geo,Metro,WAUVT68E85A192671,1993,,20th Floor
39,Ford,Expedition,WBANF33557C839161,2008,2008-10-09,Apt 1974
40,Land Rover,Range Rover,JN8AZ2KR0DT054358,2010,2006-03-17,
41,Kia,Sportage,WAUWFBFL0AA071746,2010,2022-02-01,Suite 47
42,Honda,Civic,KNAFU6A23D5473849,2006,2011-06-25,Room 107
43,Buick,Century,WVGAV7AX3FW010937,1986,2021-05-13,
44,Land Rover,Range Rover Sport,WBAPK7G54BN822063,2008,2008-01-08,Room 364
45,Plymouth,Voyager,WAUEL74F36N501672,,2019-07-28,PO Box 36564
46,Aston Martin,Vantage,1B3CB8HB1AD212087,2011,,
47,Hyundai,Accent,4T3BA3BB1DU322976,2005,,
48,Mercedes-Benz,S-Class,WBAFV3C54FD601477,1994,2001-01-28,Suite 68
49,Ford,Explorer,2T1BURHEXFC496750,2013,2003-12-26,
50,Subaru,Alcyone SVX,TRUWC28NX11968993,1993,,
51,Hyundai,Sonata,WAUDH48H97K995692,,,
52,Saturn,Outlook,WA1LMBFE9BD432933,2008,2007-03-22,15th Floor
53,Mercury,Cougar,1N6AF0LY0FN363590,,2002-11-18,
54,Ford,Explorer,WDBWK5EA2BF514725,,,Room 1610
55,Dodge,Stratus,3C3CFFARXCT448625,2001,,14th Floor
56,Mitsubishi,Lancer,WVWED7AJ3AW610709,2002,,
57,Buick,Electra,3C4PDCDG4DT037265,1984,2013-11-19,
58,Infiniti,Q,1GD220CG4CZ549871,,,
59,Lincoln,Continental,WBAVB73517K727918,,2014-08-25,
60,Mercury,Mystique,WAUZL64B21N486048,1996,2021-01-06,
61,Chevrolet,Tahoe,1D7RW2GK2BS592622,,,
62,Ford,Windstar,4T1BK1EB4EU443671,2002,2019-11-15,
63,Geo,Metro,JN8AF5MR3FT131881,,,
64,Mazda,Mazdaspeed 3,WDDGF4HB0CF904223,2009,2008-04-16,
65,Infiniti,EX,1G6DV5EP1A0850925,2010,2015-07-29,Room 883
66,Eagle,Talon,WUADUAFG3AN967130,,,
67,Saab,9-5,WAUBFCFL8CA271359,2009,,
68,Mercury,Topaz,1B3BD4FB1BN677997,1990,2019-10-11,
69,Ford,Taurus,WBAYG0C54DD068609,1987,,
70,Nissan,Sentra,WA1LFBFP3CA454022,2001,,
71,Ford,F-350 Super Duty,WAUNG94F19N803255,2006,,
72,Chevrolet,Corvette,WBAUL7C53DV030009,2008,,
73,Mercury,Grand Marquis,4T3BA3BB5AU986466,2000,2022-01-17,Suite 44
74,Lexus,LX,WAUFFAFC6EN464420,2004,,Suite 7
